id,text
1,奥迪
62,阿斯顿・马丁
60,阿尔法・罗密欧
693,AC Schnitzer
7342,ARCFOX
7230,ALPINA
3,本田
4,奔驰
20,宝马
7,别克
582,宝骏
107,比亚迪
41,标致
44,保时捷
898,北汽幻速
593,北京
306,奔腾
814,北汽绅宝
45,宾利
1126,宝沃
643,北汽威旺
122,北汽制造
950,北汽新能源
7190,比速汽车
723,巴博斯
124,长安
613,长安欧尚
110,长城
7301,长安轻型车
75,昌河
990,成功
7321,长江EV
2,大众
949,东风风行
633,东风启辰
1139,东风风光
581,东风风神
16,东南
754,DS
856,东风小康
72,道奇
111,东风
877,东风风度
10,丰田
21,福特
61,法拉利
103,福田
18,菲亚特
116,福迪
878,福汽启腾
571,广汽传祺
824,观致
265,GMC
195,广汽吉奥
567,光冈
845,哈弗
396,红旗
1180,汉腾
8,海马
583,海马郑州
133,黄海
115,华泰
1149,华泰新能源
1001,华颂
876,海格
7291,海马新能源
7331,华骐
13,吉利汽车
38,Jeep
78,江淮
26,捷豹
101,江铃
83,金杯
568,九龙
7260,江铃集团新能源
355,金龙汽车
1136,江铃集团轻汽
114,金旅
70,凯迪拉克
970,凯翼
39,克莱斯勒
578,开瑞
570,科尼赛克
1012,卡威汽车
1095,康迪
704,卡升
888,KTM
1075,凯马
30,雷克萨斯
29,路虎
73,铃木
40,雷诺
66,林肯
58,猎豹汽车
64,兰博基尼
569,陆风
305,力帆
47,劳斯莱斯
653,路特斯
939,陆地方舟
1022,雷丁
604,理念
663,Lorinser
1085,LOCAL MOTORS
17,马自达
345,MG名爵
316,玛莎拉蒂
205,MINI
715,迈凯伦
908,摩根
1106,明君华凯
623,纳智捷
1053,南京金龙
140,讴歌
1116,欧睿
573,帕加尼
12,起亚
57,奇瑞
15,日产
365,荣威
69,斯柯达
32,三菱
49,斯巴鲁
673,上汽大通MAXUS
7200,SWM斯威汽车
603,smart
53,双龙
980,赛麟
1137,斯达泰克
733,思铭
774,特斯拉
969,泰卡特
743,腾势
118,五菱
24,沃尔沃
7240,WEY
918,五十铃
579,威麟
753,威兹曼
34,现代
225,雪佛兰
6,雪铁龙
154,西雅特
7361,星驰
28,英菲尼迪
9,一汽
516,野马汽车
132,依维柯
1063,御捷
919,英致
275,永源
7271,云度新能源
7371,裕路
307,众泰
104,中华
929,知豆
125,中兴
506,中欧
866,之诺
